Using OSRM walking only — no haversine fallback; tries all mirrors until one succeeds.
Loaded 123 POIs from pois_WF2_0GU.tsv
Total: 123 POIs
Starting: 1353 candidate routes (OSRM=on)
[467s] 375/1353 | routes: 374 | skipped: 0
[469s] 376/1353 | routes: 375 | skipped: 0
[470s] 377/1353 | routes: 376 | skipped: 0
[471s] 378/1353 | routes: 377 | skipped: 0
[473s] 379/1353 | routes: 378 | skipped: 0
[474s] 380/1353 | routes: 379 | skipped: 0
[475s] 381/1353 | routes: 380 | skipped: 0
[476s] 382/1353 | routes: 381 | skipped: 0
[478s] 383/1353 | routes: 382 | skipped: 0
[479s] 384/1353 | routes: 383 | skipped: 0
[480s] 385/1353 | routes: 384 | skipped: 0
[481s] 386/1353 | routes: 385 | skipped: 0
[483s] 387/1353 | routes: 386 | skipped: 0
[484s] 388/1353 | routes: 387 | skipped: 0
[486s] 389/1353 | routes: 388 | skipped: 0
[487s] 390/1353 | routes: 389 | skipped: 0
[488s] 391/1353 | routes: 390 | skipped: 0
[490s] 392/1353 | routes: 391 | skipped: 0
[491s] 393/1353 | routes: 392 | skipped: 0
[492s] 394/1353 | routes: 393 | skipped: 0
[494s] 395/1353 | routes: 394 | skipped: 0
[495s] 396/1353 | routes: 395 | skipped: 0
[496s] 397/1353 | routes: 396 | skipped: 0
[498s] 398/1353 | routes: 397 | skipped: 0
[499s] 399/1353 | routes: 398 | skipped: 0
[500s] 400/1353 | routes: 399 | skipped: 0
[502s] 401/1353 | routes: 400 | skipped: 0
[503s] 402/1353 | routes: 401 | skipped: 0
[505s] 403/1353 | routes: 402 | skipped: 0
[506s] 404/1353 | routes: 403 | skipped: 0
[507s] 405/1353 | routes: 404 | skipped: 0
[509s] 406/1353 | routes: 405 | skipped: 0
[511s] 407/1353 | routes: 406 | skipped: 0
[513s] 408/1353 | routes: 407 | skipped: 0
[515s] 409/1353 | routes: 408 | skipped: 0
[516s] 410/1353 | routes: 409 | skipped: 0
[517s] 411/1353 | routes: 410 | skipped: 0
[518s] 412/1353 | routes: 411 | skipped: 0
[520s] 413/1353 | routes: 412 | skipped: 0
[521s] 414/1353 | routes: 413 | skipped: 0
[522s] 415/1353 | routes: 414 | skipped: 0
[524s] 416/1353 | routes: 415 | skipped: 0
[525s] 417/1353 | routes: 416 | skipped: 0
[526s] 418/1353 | routes: 417 | skipped: 0
[527s] 419/1353 | routes: 418 | skipped: 0
[529s] 420/1353 | routes: 419 | skipped: 0
[530s] 421/1353 | routes: 420 | skipped: 0
[531s] 422/1353 | routes: 421 | skipped: 0
[532s] 423/1353 | routes: 422 | skipped: 0
[533s] 424/1353 | routes: 423 | skipped: 0
[535s] 425/1353 | routes: 424 | skipped: 0
[536s] 426/1353 | routes: 425 | skipped: 0
[537s] 427/1353 | routes: 426 | skipped: 0
[539s] 428/1353 | routes: 427 | skipped: 0
[540s] 429/1353 | routes: 428 | skipped: 0
[541s] 430/1353 | routes: 429 | skipped: 0
[543s] 431/1353 | routes: 430 | skipped: 0
[544s] 432/1353 | routes: 431 | skipped: 0
[545s] 433/1353 | routes: 432 | skipped: 0
[547s] 434/1353 | routes: 433 | skipped: 0
[548s] 435/1353 | routes: 434 | skipped: 0
[549s] 436/1353 | routes: 435 | skipped: 0
[550s] 437/1353 | routes: 436 | skipped: 0
[551s] 438/1353 | routes: 437 | skipped: 0
[552s] 439/1353 | routes: 438 | skipped: 0
[554s] 440/1353 | routes: 439 | skipped: 0
[555s] 441/1353 | routes: 440 | skipped: 0
[556s] 442/1353 | routes: 441 | skipped: 0
[558s] 443/1353 | routes: 442 | skipped: 0
[559s] 444/1353 | routes: 443 | skipped: 0
[560s] 445/1353 | routes: 444 | skipped: 0
[561s] 446/1353 | routes: 445 | skipped: 0
[563s] 447/1353 | routes: 446 | skipped: 0
[564s] 448/1353 | routes: 447 | skipped: 0
[565s] 449/1353 | routes: 448 | skipped: 0
[566s] 450/1353 | routes: 449 | skipped: 0
[567s] 451/1353 | routes: 450 | skipped: 0
[568s] 452/1353 | routes: 451 | skipped: 0
[570s] 453/1353 | routes: 452 | skipped: 0
[571s] 454/1353 | routes: 453 | skipped: 0
[572s] 455/1353 | routes: 454 | skipped: 0
[573s] 456/1353 | routes: 455 | skipped: 0
[574s] 457/1353 | routes: 456 | skipped: 0
[576s] 458/1353 | routes: 457 | skipped: 0
[577s] 459/1353 | routes: 458 | skipped: 0
[578s] 460/1353 | routes: 459 | skipped: 0
[579s] 461/1353 | routes: 460 | skipped: 0
[581s] 462/1353 | routes: 461 | skipped: 0
[582s] 463/1353 | routes: 462 | skipped: 0
[583s] 464/1353 | routes: 463 | skipped: 0
[584s] 465/1353 | routes: 464 | skipped: 0
[585s] 466/1353 | routes: 465 | skipped: 0
[586s] 467/1353 | routes: 466 | skipped: 0
[588s] 468/1353 | routes: 467 | skipped: 0
[589s] 469/1353 | routes: 468 | skipped: 0
[590s] 470/1353 | routes: 469 | skipped: 0
[592s] 471/1353 | routes: 470 | skipped: 0
[593s] 472/1353 | routes: 471 | skipped: 0
[594s] 473/1353 | routes: 472 | skipped: 0
[595s] 474/1353 | routes: 473 | skipped: 0
[596s] 475/1353 | routes: 474 | skipped: 0
[598s] 476/1353 | routes: 475 | skipped: 0
[599s] 477/1353 | routes: 476 | skipped: 0
[600s] 478/1353 | routes: 477 | skipped: 0
[602s] 479/1353 | routes: 478 | skipped: 0
[604s] 480/1353 | routes: 479 | skipped: 0
[605s] 481/1353 | routes: 480 | skipped: 0
[606s] 482/1353 | routes: 481 | skipped: 0
[607s] 483/1353 | routes: 482 | skipped: 0
[608s] 484/1353 | routes: 483 | skipped: 0
[610s] 485/1353 | routes: 484 | skipped: 0
[611s] 486/1353 | routes: 485 | skipped: 0
[612s] 487/1353 | routes: 486 | skipped: 0
[613s] 488/1353 | routes: 487 | skipped: 0
[614s] 489/1353 | routes: 488 | skipped: 0
[615s] 490/1353 | routes: 489 | skipped: 0
[617s] 491/1353 | routes: 490 | skipped: 0
[618s] 492/1353 | routes: 491 | skipped: 0
[619s] 493/1353 | routes: 492 | skipped: 0
[620s] 494/1353 | routes: 493 | skipped: 0
[621s] 495/1353 | routes: 494 | skipped: 0
[622s] 496/1353 | routes: 495 | skipped: 0
[624s] 497/1353 | routes: 496 | skipped: 0
[625s] 498/1353 | routes: 497 | skipped: 0
[626s] 499/1353 | routes: 498 | skipped: 0
[627s] 500/1353 | routes: 499 | skipped: 0
[628s] 501/1353 | routes: 500 | skipped: 0
[629s] 502/1353 | routes: 501 | skipped: 0
[631s] 503/1353 | routes: 502 | skipped: 0
[632s] 504/1353 | routes: 503 | skipped: 0
[633s] 505/1353 | routes: 504 | skipped: 0
[634s] 506/1353 | routes: 505 | skipped: 0
[635s] 507/1353 | routes: 506 | skipped: 0
[636s] 508/1353 | routes: 507 | skipped: 0
[637s] 509/1353 | routes: 508 | skipped: 0
[638s] 510/1353 | routes: 509 | skipped: 0
[640s] 511/1353 | routes: 510 | skipped: 0
[641s] 512/1353 | routes: 511 | skipped: 0
[642s] 513/1353 | routes: 512 | skipped: 0
[643s] 514/1353 | routes: 513 | skipped: 0
[644s] 515/1353 | routes: 514 | skipped: 0
[645s] 516/1353 | routes: 515 | skipped: 0
[646s] 517/1353 | routes: 516 | skipped: 0
[647s] 518/1353 | routes: 517 | skipped: 0
[648s] 519/1353 | routes: 518 | skipped: 0
[650s] 520/1353 | routes: 519 | skipped: 0
[651s] 521/1353 | routes: 520 | skipped: 0
[652s] 522/1353 | routes: 521 | skipped: 0
[653s] 523/1353 | routes: 522 | skipped: 0
[654s] 524/1353 | routes: 523 | skipped: 0
[655s] 525/1353 | routes: 524 | skipped: 0
[656s] 526/1353 | routes: 525 | skipped: 0
[658s] 527/1353 | routes: 526 | skipped: 0
[659s] 528/1353 | routes: 527 | skipped: 0
